iter	Passed	Remaining
0	1	116
1	2	118
2	3	112
3	4	104
4	5	103
5	6	100
6	7	99
7	8	96
8	9	94
9	10	93
10	11	92
11	12	93
12	13	92
13	14	91
14	15	90
15	17	89
16	18	88
17	19	87
18	20	86
19	21	84
20	22	84
21	23	83
22	24	82
23	25	81
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	31	74
30	32	72
31	34	73
32	35	72
33	36	71
34	37	69
35	38	68
36	39	67
37	40	66
38	41	64
39	42	63
40	43	62
41	44	61
42	45	60
43	46	59
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	57	48
54	57	47
55	58	46
56	59	45
57	60	44
58	61	42
59	62	41
60	63	40
61	64	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	22
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
